



央视更新2025.7.7,#genre#
白山新闻综合,http://123.207.224.130:123/jilin/jilin.php?id=bszh
白城新闻综合,http://123.207.224.130:123/jilin/jilin.php?id=bczh
松原新闻综合,http://123.207.224.130:123/jilin/jilin.php?id=syzh
通化梅河口综合,http://123.207.224.130:123/jilin/tonghua.php?id=thmhkzh

江苏,#genre#
江苏卫视,http://123.207.224.130:123/jiangsu/jiangsu.php?id=jsws
江苏城市,http://123.207.224.130:123/jiangsu/jiangsu.php?id=jscs
江苏综艺,http://123.207.224.130:123/jiangsu/jiangsu.php?id=jszy
江苏影视,http://123.207.224.130:123/jiangsu/jiangsu.php?id=jsys
江苏新闻,http://123.207.224.130:123/jiangsu/jiangsu.php?id=jsxw
江苏教育,http://123.207.224.130:123/jiangsu/jiangsu.php?id=jsjy
江苏体育休闲,http://123.207.224.130:123/jiangsu/jiangsu.php?id=jsty
江苏国际,http://123.207.224.130:123/jiangsu/jiangsu.php?id=jsgj

优漫卡通,http://123.207.224.130:123/jiangsu/jiangsu.php?id=ymkt
南京新闻综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=nj1


江阴新闻综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=wxjy
徐州新闻综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=xz1

新沂新闻综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=xzxy
贾汪新闻综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=xzjw
铜山新闻综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=xzts
常州新闻,http://123.207.224.130:123/jiangsu/jiangsu.php?id=cz1
武进综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=czwj

吴江新闻综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=szwj

南通新闻综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=nt1
连云港新闻综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=lyg1

淮安综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=ha1
盱眙综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=haxy
洪泽综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=hahz
盐城1套,http://123.207.224.130:123/jiangsu/jiangsu.php?id=yc1
响水综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=ycxs
镇江新闻综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=zj1

泰州新闻,http://123.207.224.130:123/jiangsu/jiangsu.php?id=tz1
靖江新闻,http://123.207.224.130:123/jiangsu/jiangsu.php?id=tzjj
泰兴新闻综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=tztx
兴化新闻综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=tzxh
宿迁综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=sq1
泗阳综合,http://123.207.224.130:123/jiangsu/jiangsu.php?id=sqsy

铜山1台,http://123.207.224.130:123/jiangsu/tongshan.php?id=tsxwzh
铜山2台,http://123.207.224.130:123/jiangsu/tongshan.php?id=tssn

内蒙古,#genre#
内蒙古卫视,http://123.207.224.130:123/neimeng/neimeng.php?id=nmws
内蒙古蒙古语卫视,http://123.207.224.130:123/neimeng/neimeng.php?id=nmmyws
内蒙古新闻综合,http://123.207.224.130:123/neimeng/neimeng.php?id=nmxwzh
内蒙古经济生活,http://123.207.224.130:123/neimeng/neimeng.php?id=nmjjsh
内蒙古少儿频道,http://123.207.224.130:123/neimeng/neimeng.php?id=nmse
内蒙古文体娱乐,http://123.207.224.130:123/neimeng/neimeng.php?id=nmwtyl
内蒙古农牧频道,http://123.207.224.130:123/neimeng/neimeng.php?id=nmnm
内蒙古蒙古语文化,http://123.207.224.130:123/neimeng/neimeng.php?id=nmwh
呼和浩特新闻综合,http://123.207.224.130:123/neimeng/neimeng.php?id=hhht1
锡林郭勒,http://123.207.224.130:123/neimeng/neimeng.php?id=xlgl1
阿拉善新闻综合,http://123.207.224.130:123/neimeng/neimeng.php?id=als1
巴彦淖尔,http://123.207.224.130:123/neimeng/neimeng.php?id=byle1
鄂尔多斯,http://123.207.224.130:123/neimeng/neimeng.php?id=erds1
赤峰新闻综合,http://123.207.224.130:123/neimeng/neimeng.php?id=cf1
通辽新闻综合,http://123.207.224.130:123/neimeng/neimeng.php?id=tl1
